idx	tok	arabish	pos	analysis
5538	ال+نور	enoure	DET+NOUN	_yes
5543	ال+ناس	enes	DET+NOUN	_yes
5601	ال+نهار	inhar	DET+NOUN	_yes
5952	ل+ال#نهار	lin#nhar	PREP+DET#NOUN	_yes
6161	ب+ال+ضبط	bidhabt	[PREP+DET+NOUN]ADV	_yes
6231	ب+ال+ضبط	bethabt	[PREP+DET+NOUN]ADV	_yes
6238	ال+راجل	erajel	DET+NOUN	_yes
6253	ب+ال+رسمي	Berrassmi	[PREP+DET+NOUN]ADV	_yes
6256	ال+شارج	echarge	DET+NOUN	_yes
6300	ال+روز	ruz	DET+NOUN	_abs
6330	ال+لمّة	lamma	DET+NOUN-NSUFF_FEM_SG	_abs
6436	ال+ليلة	lilaa	DET+NOUN-NSUFF_FEM_SG	_abs
6542	م+ال#شعب	mel#chaab	PREP+DET#NOUN	_no
6622	ال+زمان	Ezamen	DET+NOUN	_yes
6987	في+ال#سوق	fil#sou9	PREP+DET#NOUN	_no
7247	ال+دنيا	dinya	DET+NOUN	_abs
7304	ال+صورة	essoura	DET+NOUN-NSUFF_FEM_SG	_yes
7386	ال+رمّان	ERROMMEN	DET+NOUN	_yes
8403	ال+دنيا	denyaa	DET+NOUN	_abs
8625	ال+نهار	nhar	DET+NOUN	_abs
10478	ب+ال+ضبط	bedhabt	[PREP+DET+NOUN]ADV	_yes
10947	ال+دنيا	dnya	DET+NOUN	_abs
11312	ال+دنيا	edinia	DET+NOUN	_yes
11865	ال+سخطة	esa5ta	DET+NOUN-NSUFF_FEM_SG	_yes
12312	في+ال#ضيق	fel#dhi9	PREP+DET#NOUN	_no
12367	ب+ال+رجوليّة	borjouliya	PREP+DET+NOUN-NSUFF_FEM_SG	_yes
13058	بدّل+ال+صندوق	baddel’esondou9	CV2S-CV+DET+NOUN	_no
13305	ب+ال#ذرّيّة	Bel#dhereya	PREP+DET#NOUN-NSUFF_FEM_SG	_no
13661	ال+زين	ezzine	DET+NOUN	_yes
13692	ب+ال+رسمي	berasmi	[PREP+DET+NOUN]ADV	_yes
13832	ال#سبّ	el#sabb	DET#NOUN	_no
13848	م+ال+تلحيس	metalhis	PREP+DET+NOUN	_yes
13890	ال+توانسة	Etwansa	DET+NOUN-NSUFF_FEM_SG	_yes
14020	ال+نفسية	elnafsih	DET+NOUN-NSUFF_FEM_SG	_no
14491	ال+دنيا	eddenya	DET+NOUN	_yes
14588	ال+رقم	erra9m	DET+NOUN	_yes
14792	ب+ال+ضبط	bithabet	[PREP+DET+NOUN]ADV	_yes
14798	و+ال+طقس	wta9s	CONJ+DET+NOUN	_abs
14829	ل+ال+ناس	Lenas	PREP+DET+NOUN	_yes
14838	ال+شيخات	echi5at	DET+NOUN-NSUFF_FEM_PL	_yes
14849	ال+ثورة	thawra	DET+NOUN-NSUFF_FEM_SG	_abs
14885	ال+روح+ي	elro7i	DET+NOUN+POSS_PRON_1S	_no
15405	ال+نور	ennour	DET+NOUN	_yes
15488	ال+ناموس	Inamous	DET+NOUN	_yes
15672	ال+ثورة	ethawraa	DET+NOUN-NSUFF_FEM_SG	_yes
15679	ال+ناس	eness	DET+NOUN	_yes
15916	ب+ال+رجوليّة	borjoliya	PREP+DET+NOUN-NSUFF_FEM_SG	_yes
15939	ال+توانسة	ettwinsa	DET+NOUN-NSUFF_FEM_SG	_yes
16324	ال+رديئة	irradi2a	DET+NOUN-NSUFF_FEM_SG	_yes
16553	ال+جاهل	ljahl	DET+NOUN	_no
16572	ال+تعبر	et3aber	DET+NOUN	_yes
17090	ال+جو	ljaw	DET+NOUN	_no
17092	ال+ضحكة	ldh7ka	DET+NOUN-NSUFF_FEM_SG	_no
17116	ب+ال+ناس	bilnes	PREP+DET+NOUN	_no
17565	ال+جو	ljaw	DET+NOUN	_no
17567	ال+ضحكة	ldh7ka	DET+NOUN-NSUFF_FEM_SG	_no
17591	ب+ال+ناس	bilnes	PREP+DET+NOUN	_no
17903	و+ال+سوم	wissoum	CONJ+DET+NOUN	_yes
18197	ال+ريحة	erri7a	DET+NOUN-NSUFF_FEM_SG	_yes
18319	ال+رسم	Arrassem	DET+NOUN	_yes
18320	ال+تشكي	attachkii	DET+NOUN	_yes
18423	ال+نور	enour	DET+NOUN	_yes
18488	ال+ناس	ennes	DET+NOUN	_yes
19011	ال#دنيا	el#dinya	DET#NOUN	_no
19015	ع+ال#داير	3al#dèyir	PREP+DET#NOUN	_no
19133	ال#سلفيّة	el#selefya	DET#NOUN-NSUFF_FEM_SG	_no
19138	ب+ال+دين	beddin	PREP+DET+NOUN	_yes
19199	ال+سياد+كم	asyedkom	DET+NOUN+POSS_PRON_2P	_yes
19204	ال+دين	edin	DET+NOUN	_yes
19218	ال+تمرد	etamared	DET+NOUN	_yes
19219	ب+ال+صندوق	besendouk	PREP+DET+NOUN	_yes
19233	ال+صحّة	essaha	DET+NOUN-NSUFF_FEM_SG	_yes
19311	ال#صحاب+ه	el#sou7abou	DET#NOUN+POSS_PRON_3MS	_no
19567	ال+تاريخ	atari5	DET+NOUN	_yes
19570	ال+شيطان	achaytan	DET+NOUN	_yes
19588	م+ال#طحين	mil#t7in	PREP+DET#NOUN	_no
19698	م+ال#جرذان	mil#jerdhan	PREP+DET#NOUN	_no
19722	ال#صباح	a#sbe7	DET#NOUN	_yes
19804	ب+ال+دم	beddam	PREP+DET+NOUN	_yes
19807	ال+شعب	echaab	DET+NOUN	_yes
19840	ال#شعب	il#cha3eb	DET#NOUN	_no
19872	ال+طحانة	eta7ana	DET+NOUN-NSUFF_FEM_SG	_yes
19876	ال+نقابة	enakba	DET+NOUN-NSUFF_FEM_SG	_yes
19879	ب+ال+رجوليّة	berjouliya	PREP+DET+NOUN-NSUFF_FEM_SG	_yes
19894	ال+راجل	errajel	DET+NOUN	_yes
19901	ال+دوام	edwem	DET+NOUN	_yes
19903	ال+رخام	er5am	DET+NOUN	_yes
19908	ب+ال+سياسة	bessiyessa	[PREP+DET+NOUN-NSUFF_FEM_SG]ADV	_yes
19963	ال+نوم	ENOUM	DET+NOUN	_yes
20047	ال+دار	eddar	DET+NOUN	_yes
20060	ال+دار	eddar	DET+NOUN	_yes
20303	ال+تعب	etta3ab	DET+NOUN	_yes
20360	ال+رجلة	errojla	DET+NOUN-NSUFF_FEM_SG	_yes
20647	ال+راجل	errajil	DET+NOUN	_yes
20894	ال+طفلة	ettofla	DET+NOUN-NSUFF_FEM_SG	_yes
21046	ال+شمس	echamss	DET+NOUN	_yes
21065	ل+ال+سما	lessmé	PREP+DET+NOUN	_yes
21178	ال+صباح	essbe7	DET+NOUN	_yes
21202	ال+جنّة	ejjanna	DET+NOUN-NSUFF_FEM_SG	_yes
21218	ل+ال#نسيان	lel#nessyèn	PREP+DET#NOUN	_no
21327	ع+ال+سلامة	3asslema	[PREP+DET+NOUN-NSUFF_FEM_SG]INTERJ	_yes
21378	ب+ال+طبيعة	Bitbi3a	[PREP+DET+NOUN-NSUFF_FEM_SG]ADV	_yes
21530	في+ال+صيف	fessif	PREP+DET+NOUN	_yes
21531	ال+دنيا	edenia	DET+NOUN	_yes
21540	ال+صغار	assghar	DET+NOUN	_yes
21566	ال+صغار	essghar	DET+NOUN	_yes
21759	ال+تفرقة	etafr9a	DET+NOUN-NSUFF_FEM_SG	_yes
21773	ال#نسا	el#nsè	DET#NOUN	_no
21789	ال+طفلة	etofla	DET+NOUN-NSUFF_FEM_SG	_yes
21825	ال+دلال	edlel	DET+NOUN	_yes
21881	ب+ال#دلال	bil#dlel	PREP+DET#NOUN	_no
22179	ب+ال+نقص#مشاكل	ban9és#machékél	PREP+DET+ADJ#NOUN	_yes
22485	في+ال#زيت	fil#zitt	PREP+DET#NOUN	_no
22566	ب+ال+ضبط	bethabet	[PREP+DET+NOUN]ADV	_yes
22776	ال+دار	edar	DET+NOUN	_yes
23105	ال+رازقين	erazikine	DET+NOUN-NSUFF_MASC_PL	_yes
23441	ال#دنيا	e#deniya	DET#NOUN	_yes
23503	ال+ناس	ennes	DET+NOUN	_yes
23643	ال+ناس	ennes	DET+NOUN	_yes
23700	ال+ستر	essetr	DET+NOUN	_yes
23863	ال+صحّة	essa7a	DET+NOUN-NSUFF_FEM_SG	_yes
24049	ال+دولاب	eddouleb	DET+NOUN	_yes
24239	ال+ناس	ennes	DET+NOUN	_yes
24269	ال+جهد	eljehd	DET+NOUN	_no
24296	ال+ناس	ennes	DET+NOUN	_yes
24470	ال+تنسنيس	etnassnis	DET+NOUN	_yes
25115	ال+تربية	ettorbia	DET+NOUN-NSUFF_FEM_SG	_yes
25131	ال+ناس	ennes	DET+NOUN	_yes
25151	ال+تربية	ettorbia	DET+NOUN-NSUFF_FEM_SG	_yes
25847	ال+صبخة	lessab5a	DET+NOUN-NSUFF_FEM_SG	_yes
25853	ال+شماتة	echmeta	DET+NOUN-NSUFF_FEM_SG	_yes
25867	ال+راجل	errajl	DET+NOUN	_yes
25878	في+ال+روندوان	ferreondpoint	PREP+DET+NOUN	_yes
25886	ال+ناس	ennes	DET+NOUN	_yes
25929	ال+سفير	essafir	DET+NOUN	_yes
25941	ال+سفير	essefir	DET+NOUN	_yes
25983	ال+سواحلية	esswe7lia	DET+NOUN-NSUFF_FEM_SG	_yes
25988	ع+ال+جبورة	3ajjboura	PREP+DET+NOUN-NSUFF_FEM_SG	_yes
26017	ال+سواحليّة	isswa7liya	DET+NOUN-NSUFF_FEM_SG	_yes
26171	في+ال#جوغرافية	fil#jografia	PREP+DET#NOUN-NSUFF_FEM_SG	_no
26177	ال+ساحل	essa7el	DET+NOUN	_yes
26187	ال#ساحل	el#sa7el	DET#NOUN	_no
26199	في+ال+ساحل	fissa7el	PREP+DET+NOUN	_yes
26219	م+ال#جنوب	mel#jenoub	PREP+DET#NOUN	_no
26400	ب+ال+رجوليّة	Bourjoulia	[PREP+DET+NOUN-NSUFF_FEM_SG]ADV	_yes
26426	ال+ناس	ennes	DET+NOUN	_yes
26446	ال+توريسم	ettourisme	DET+NOUN	_yes
26477	ل+ال#جنوب	lel#janoub	PREP+DET#NOUN	_no
26495	ال+نقاشات	anni9achet	DET+NOUN-NSUFF_FEM_PL	_yes
26525	ال+ساحل	ESSA7EL	DET+NOUN	_yes
26532	ال+تسمية	ettasmiya	DET+NOUN-NSUFF_FEM_SG	_yes
26535	ال+نجم	ennajm	DET+NOUN	_yes
26550	ال+ساحل	essa7el	DET+NOUN	_yes
26556	ال+ثقافة	etha9afa	DET+NOUN-NSUFF_FEM_SG	_yes
26561	م+ال#ثقافة	mel#tha9afa	PREP+DET#NOUN-NSUFF_FEM_SG	_no
26563	ال#جوغرافيّة	el#joghrafiyya	DET#NOUN-NSUFF_FEM_SG	_no
26599	ال+ساحل	essa7l	DET+NOUN	_yes
26644	ال+نقص	enna9ss	DET+NOUN	_yes
26663	في+ال+زطلة	fizzatla	PREP+DET+NOUN-NSUFF_FEM_SG	_yes
26671	في+ال+نفاق	finnife9	PREP+DET+NOUN	_yes
26731	ال+سواحلية	esswe7lya	DET+NOUN-NSUFF_FEM_SG	_yes
26800	ال+ساحل	essa7el	DET+NOUN	_yes
26831	ال+ساحل	esse7el	DET+NOUN	_yes
26880	ال#ساحل	el#sé7él	DET#NOUN	_no
26947	ال+شاذّ	achéthou	DET+NOUN	_yes
27090	ال#جهل	el#jahl	DET#NOUN	_no
27192	و+ال+سرقة	wesser9a	CONJ+DET+NOUN-NSUFF_FEM_SG	_yes
27212	ال#جواب	el#jeweb	DET#NOUN	_no
27312	ال+سوجات	essujet	DET+NOUN	_yes
27331	ب+ال+نكتة	bennokta	PREP+DET+NOUN-NSUFF_FEM_SG	_yes
27483	ال+ركورد	errocord	DET+NOUN	_yes
27498	ع+ال+صباح	3assbe7	PREP+DET+NOUN	_yes
27517	ال+ديسكو	eddiscu	DET+NOUN	_yes
27519	ال+ليلة	ellila	DET+NOUN-NSUFF_FEM_SG	_yes
27567	ال+جو	Ejjaw	DET+NOUN	_yes
27581	في+ال#زلابية	fel#zlabia	PREP+DET#NOUN-NSUFF_FEM_SG	_no
27585	ع+ال+زلابية	3azzlebiya	PREP+DET+NOUN-NSUFF_FEM_SG	_yes
27913	ع+ال#نيب	3al#nib	PREP+DET#NOUN	_no
27948	ال#سخطة	el#sa5ta	DET#NOUN-NSUFF_FEM_SG	_no
27994	ل+ال#دعوة	lel#da3wa	PREP+DET#NOUN-NSUFF_FEM_SG	_no
27998	ال#دعوة	el#da3wa	DET#NOUN-NSUFF_FEM_SG	_no
28020	ب+ال#نساء	bel#nsa2	PREP+DET#NOUN	_no
28030	ال#دين	el#din	DET#NOUN	_no
28062	ال#دم	el#dam	DET#NOUN	_no
28081	ال#جيش	el#jaych	DET#NOUN	_no
28101	ال#دين	el#din	DET#NOUN	_no
28115	في+ال#ناس	fil#ness	PREP+DET#NOUN	_no
28121	ال#سارق	el#sare9	DET#NOUN	_no
28142	ال#شيطان	al#chaytan	DET#NOUN	_no
28810	ال+صيف	lsif	DET+NOUN	_no
28872	ع+ال+سلامة	3aslema	[PREP+DET+NOUN-NSUFF_FEM_SG]INTERJ	_yes
28879	ع+ال+سلامات	3asslamet	PREP+DET+NOUN-NSUFF_FEM_PL	_yes
29144	م+ال#تمنيك	mel#tmeniek	PREP+DET#NOUN	_no
29222	م+ال#دزعبين	mel#dza3bin	PREP+DET#NOUN-NSUFF_MASC_PL	_no
29234	م+ال#تمنيك	mel#tmenik	PREP+DET#NOUN	_no
29323	ال+روح	irrou7	DET+NOUN	_yes
29347	ب+ال#دخان	bil#do5an	PREP+DET#NOUN	_no
29426	ال+جردة	ijarda	DET+NOUN-NSUFF_FEM_SG	_yes
29432	ال+دبش	idbach	DET+NOUN	_yes
29455	ال+نوم	ennouuuuuuuuuuuum	DET+NOUN	_yes
29461	ال+تاليفون	etalifouuuun	DET+NOUN	_yes
29814	ع+ال+سلامة	3aslema	[PREP+DET+NOUN-NSUFF_FEM_SG]INTERJ	_yes
29832	و+ال#ضحك	wel#dho7k	CONJ+DET#NOUN	_no
29887	ع+ال+سلامة	aslama	[PREP+DET+NOUN-NSUFF_FEM_SG]INTERJ	_yes
30015	ال+جمعية	ejjam3ia	DET+NOUN-NSUFF_FEM_SG	_yes
30182	...#ال+ناس	...#ennes	DET#DET+NOUN	_yes
30183	ال+ناس	ennes	DET+NOUN	_yes
30248	م+ال#دار	mil#dar	PREP+DET#NOUN	_no
30561	ال+ستّار	ilsatar	DET+NOUN	_no
30657	في+ال+صيف	fissif	PREP+DET+NOUN	_yes
30672	م+ال#لازم	ml#lezm	PREP+DET#NOUN	_no
30703	ب+ال+زايد	bzeyed	[PREP+DET+NOUN]ADV	_yes
30741	م+ال#تسليم	mel#taslim	PREP+DET#NOUN	_no
30796	ال+صباح	esbe7	DET+NOUN	_yes
30822	ال+ثوم	ethoum	DET+NOUN	_yes
31032	ب+ال+ضبط	bedhabt	[PREP+DET+NOUN]ADV	_yes
31177	م+ال+لازم	mellazem	PREP+DET+NOUN	_yes
31232	ب+ال+طبيعة	betbi3ti	[PREP+DET+NOUN-NSUFF_FEM_SG]ADV	_yes
31234	ب+ال#شهر	bel#chhar	PREP+DET#NOUN	_no
31247	ب+ال#نضفة	bel#nthafa	PREP+DET#NOUN-NSUFF_FEM_SG	_no
31258	ل+ال#دار	lel#dar	PREP+DET#NOUN	_no
31312	ال+صغار	essghar	DET+NOUN	_yes
31597	ب+ال+رغم	berghem	[PREP+DET+NOUN]ADV	_yes
31750	ال+دنيا	eddenya	DET+NOUN	_yes
31862	ال+صورس	ilsource	DET+NOUN	_no
31987	في+ال+دوش	fildouche	PREP+DET+NOUN	_no
31990	ل+ال+دار	lidar	PREP+DET+NOUN	_yes
32009	و+ال+تسليم	wiltaslim	CONJ+DET+NOUN	_no
32020	ب+ال+نهار	bilnhar	PREP+DET+NOUN	_no
32023	ب+ال+جمعة	biljom3a	PREP+DET+NOUN-NSUFF_FEM_SG	_no
32025	ب+ال+جمعة	biljom3a	PREP+DET+NOUN-NSUFF_FEM_SG	_no
32027	ب+ال+شهر	bilchhar	PREP+DET+NOUN	_no
32070	ال#شهر	el#chhar	DET#NOUN	_no
32092	في+ال#دار	fil#dar	PREP+DET#NOUN	_no
32236	ال#صبح	el#sobe7	DET#NOUN	_no
32354	ال+رابع	Areb3a	DET+NOUN	_yes
32413	ال#شعب	el#cha3eb	DET#NOUN	_no
32425	ال#دين	el#din	DET#NOUN	_no
32442	ل+ال#طريق	lel#tari9	PREP+DET#NOUN	_no
32549	ال#ذنوب	el#thnoub	DET#NOUN	_no
32625	م+ال+ثقافة	mettha9eff	PREP+DET+NOUN-NSUFF_FEM_SG	_yes
32629	ال#ثقافة	el#tha9affa	DET#NOUN-NSUFF_FEM_SG	_no
32634	ال#رجولية	el#rjouliya	DET#NOUN-NSUFF_FEM_SG	_no
32721	ال#توقيت	el#tawou9it	DET#NOUN	_no
32731	ال#لحية	el#le7ya	DET#NOUN-NSUFF_FEM_SG	_no
32749	ال#ثورة	el#thawoura	DET#NOUN-NSUFF_FEM_SG	_no
32782	ال#ربّانيّة	el#rabbaniya	DET#NOUN-NSUFF_FEM_SG	_no
32786	ال#لحية	el#le7ya	DET#NOUN-NSUFF_FEM_SG	_no
32809	ال+تعيط	et3ayet	DET+NOUN	_yes
32815	ال#سياسة	el#siyessa	DET#NOUN-NSUFF_FEM_SG	_no
32819	ال#نصيحة	el#nessha	DET#NOUN-NSUFF_FEM_SG	_no
32840	ال+دفع	eddefa3	DET+NOUN	_yes
32847	ال+نبي+ه	enbih	DET+NOUN+POSS_PRON_3MS	_yes
32858	ال#طفّار	el#taffar	DET#NOUN	_no
32868	ال#سما	el#smaa	DET#NOUN	_no
32894	ال#سوس	el#souss	DET#NOUN	_no
32915	ل+ال#صلاح	lel#sole7	PREP+DET#NOUN	_no
32934	ال#شعب	el#cha3eb	DET#NOUN	_no
32946	ال#دين	el#din	DET#NOUN	_no
32986	ال#شهوة	el#chahawatt	DET#NOUN-NSUFF_FEM_SG	_no
32998	ال#دين	el#din	DET#NOUN	_no
33019	ال+طهار	ettaher	DET+NOUN	_yes
33065	ال#شكّ	el#chak	DET#NOUN	_no
33079	ها+ال#جرتيلة	hal#jertila	DEM_PRON+DET#NOUN-NSUFF_FEM_SG	_no
33091	ال#ناس	el#ness	DET#NOUN	_no
33152	ال#ديمقراطية	el#dimo9ratiya	DET#NOUN-NSUFF_FEM_SG	_no
33170	ال#تعبد	el#ta3bid	DET#NOUN	_no
33175	ال#تعبير	el#ta3birr	DET#NOUN	_no
33197	ال#نقاب	el#ni9ab	DET#NOUN	_no
33203	ال#نقاط	el#ni9at	DET#NOUN	_no
33213	ل+ال#تصفيق	lel#tasfi9	PREP+DET#NOUN	_no
33229	ال#شي	el#chay	DET#NOUN	_no
33236	ب+ال#تكبير	bel#takbir	PREP+DET#NOUN	_no
33248	ال#سيد	el#sayed	DET#NOUN	_no
33278	ال#نور	el#nour	DET#NOUN	_no
33286	ال#لحية	el#le7ya	DET#NOUN-NSUFF_FEM_SG	_no
33294	ال#صوت	el#sout	DET#NOUN	_no
33360	ال#صحبة	el#SO7Ba	DET#NOUN-NSUFF_FEM_SG	_no
33364	ال#نية	el#neya	DET#NOUN-NSUFF_FEM_SG	_no
33380	ال#ساقين	el#sa9in	DET#NOUN	_no
33385	ب+ال#راي	bel#Rai	PREP+DET#NOUN	_no
33396	ب+ال#نصايح	bel#nsaya7	PREP+DET#NOUN	_no
33427	ال+تشيات	etchayet	DET+NOUN-NSUFF_FEM_PL	_yes
33449	ع+ال#دبابز	3al#dbabezz	PREP+DET#NOUN	_no
33474	ال#تلفون	el#talifoun	DET#NOUN	_no
33509	ها+ال#سوية	hal#swayet	DEM_PRON_3MS+DET#NOUN-NSUFF_FEM_SG	_no
33545	ال#دغف	el#dGhoff	DET#NOUN	_no
33642	ال#تخمة	el#T5ma	DET#NOUN-NSUFF_FEM_SG	_no
33663	ال#نفس	el#nfass	DET#NOUN	_no
33670	ال#سبادري	el#sbedri	DET#NOUN	_no
33710	ال#صديق	el#sadi9	DET#NOUN	_no
33737	ال#لوز	el#louz	DET#NOUN	_no
33744	ال#سياد	el#sayed	DET#NOUN	_no
33776	ال#شقيقة	el#cha9i9a	DET#NOUN-NSUFF_FEM_SG	_no
33907	ال#ريح	el#ri7	DET#NOUN	_no
33967	ال#داني	el#deni	DET#NOUN	_no
34059	ال#ساند+ي	el#sandi	DET#NOUN+POSS_PRON_1S	_no
34070	ال#زين	el#zine	DET#NOUN	_no
34141	ها+ال#تعلم	8al#Ta3lam	DEM_PRON+DET#NOUN	_no
34146	ال#تونسي	el#tounsi	DET#NOUN	_no
34152	ال#لازم	el#Lazzem	DET#NOUN	_no
34165	ال#جرية	al#jariya	DET#NOUN-NSUFF_FEM_SG	_no
34168	ال#تونسي	el#tounsi	DET#NOUN	_no
34175	ال#ربّ+ي	el#Rabbi	DET#NOUN+POSS_PRON_1S	_no
34259	ال#لستة	el#lista	DET#NOUN-NSUFF_FEM_SG	_no
34389	ال+دور	eddour	DET+NOUN	_yes
34416	ال#دوخة	el#dou5a	DET#NOUN-NSUFF_FEM_SG	_no
34475	ال#شلب	el#chalbi	DET#NOUN	_no
34490	ال#طلب	al#talab	DET#NOUN	_no
34501	ال#طابّونة	el#Tabouna	DET#NOUN-NSUFF_FEM_SG	_no
34541	ال#شعب	el#Cha3b	DET#NOUN	_no
34614	ال#طبيعة	al#tabi3a	DET#NOUN-NSUFF_FEM_SG	_no
34646	ال#درابو	el#drabou	DET#NOUN	_no
34659	ال#جوال	al#jawel	DET#NOUN	_no
34720	ب+ال#شيشة	bel#chicha	PREP+DET#NOUN-NSUFF_FEM_SG	_no
34728	ال#لوبان	el#louben	DET#NOUN	_no
34813	ال#طبيعة	al#Tabi3a	DET#NOUN-NSUFF_FEM_SG	_no
34820	ب+ال#طبيعة	bel#Tbi3a	PREP+DET#NOUN-NSUFF_FEM_SG	_no
34856	ال#طبّال	el#Tabbel	DET#NOUN	_no
34901	ال#شقيقة	al#cha9i9a	DET#NOUN-NSUFF_FEM_SG	_no
34904	ال#صديقة	al#Sadi9a	DET#NOUN-NSUFF_FEM_SG	_no
34934	ب+ال#تونسي	bel#tounsi	PREP+DET#NOUN	_no
34949	ال#تونسي	el#Tounsi	DET#NOUN	_no
34951	ل+ال#تونسي	lel#Tounsi	PREP+DET#NOUN	_no
34964	ال#تونسي	el#tounsi	DET#NOUN	_no
34992	ال#تلفزة	el#Talfza	DET#NOUN-NSUFF_FEM_SG	_no
35023	ال#روح	el#Rou7	DET#NOUN	_no
35025	ال#رياضية	el#Ryadhiya	DET#NOUN-NSUFF_FEM_SG	_no
35045	ال#سلم	al#Salem	DET#NOUN	_no
35123	ب+ال#دبابش	bel#dbebech	PREP+DET#NOUN	_no
35134	ل+ال+طبيب	letbib	PREP+DET+NOUN	_yes
35141	ال#طبيب	el#Tbib	DET#NOUN	_no
35164	ال#رفيق	el#Rafi9	DET#NOUN	_no
35182	ال#شراب	el#chrabb	DET#NOUN	_no
35206	ال#صلاة	el#slé	DET#NOUN-NSUFF_FEM_SG	_no
35213	ال#ليل	el#leil	DET#NOUN	_no
35221	ال#دنيا	el#donnya	DET#NOUN	_no
35417	ال+رسمي	errasmi	DET+NOUN	_yes
35500	ال+راجل	errajel	DET+NOUN	_yes
35692	ال+شعب	echa3b	DET+NOUN	_yes
36074	ال+ليل	ellil	DET+NOUN	_yes
36153	ال+تاي	ettey	DET+NOUN	_yes
36176	ال+ناسّ	ennes	DET+NOUN	_yes
36184	ال+ناسّ	ennes	DET+NOUN	_yes
36205	م+ال+نوم	mennoum	PREP+DET+NOUN	_yes
36230	ال+ناس	ennes	DET+NOUN	_yes
36482	ال+طبيعة	ettabi3a	DET+NOUN-NSUFF_FEM_SG	_yes
36522	ال+نسمة	ennesma	DET+NOUN-NSUFF_FEM_SG	_yes
36551	ال+شباب	echebeb	DET+NOUN	_yes
36560	ال+سرعة	essor3a	DET+NOUN-NSUFF_FEM_SG	_yes
36573	ل+ال#لود	lel#Loud	PREP+DET#NOUN	_yes
36648	ال+جماعة	ejme3a	DET+NOUN-NSUFF_FEM_SG	_yes
36651	ب+ال+ضبط	bedhabt	[PREP+DET+NOUN]ADV	_yes
36699	في+ال#لود	fel#Loud	PREP+DET#NOUN	_no
36724	ال+لود	elloud	DET+NOUN	_yes
36865	ال+صغار	esghar	DET+NOUN	_yes
36885	ال+جبل	ejjbal	DET+NOUN	_yes
36899	ال+دنيا	eddenya	DET+NOUN	_yes
37094	ال+شي	echay	DET+NOUN	_yes
37168	ال+نوم	ennoum	DET+NOUN	_yes
37214	ال+سوق	essou9	DET+NOUN	_yes
37620	ال#صحبة	el#so7ba	DET#NOUN-NSUFF_FEM_SG	_no
37626	ال+دنيا	eddenya	DET+NOUN	_yes
37693	ال#جزيرة	el#Jezira	DET#NOUN-NSUFF_FEM_SG	_no
